id;created;description;favourites;followers;friends;lang;location;name
1264505179;2013-03-13 10:43:06.0;WOMEN'S S♀ORT - reports results commentary players athletes Champs & Tournies from The Women's Sports Network all on #WonderWall http://t.co/bW5ioTzirS;0;330;900;en;;Twing_CAN
402290172;2011-10-31 18:55:43.0;17 - insta/snap: julianaeiras;143;2663;406;pt;Capricorniana ♑ ;ju
34280193;2009-04-22 11:06:57.0;I run Marathons, I defeat videogames, I bang my head to metal music, I watch Wrestling, I look good in suits and I am Straight Edge;54;98;173;en;Ruhrpott, Germany;Lucjan
25384840;2009-03-19 18:02:07.0;The National Sport Federation for golf in Canada. Proud sport partner of @TeamCanada.You're on the tee w/ @TerryLenyk @DanPino22 @ty_cost & @HerbsThots.;1947;27176;3758;en;Oakville, Ont. Canada;Golf Canada
123035230;2010-03-14 16:28:25.0;O mundo é um livro, e aqueles que não viajam lêem somente uma página - Santo Agostinho;6214;512;367;pt;Rio de Janeiro ;Mari
310426766;2011-06-03 15:41:20.0;20 años (y contando) Trilingüe (criollo, tano y gringo)  Atea (para mi dios es mi vieja)  Bicho de ciudad;16093;297;407;es;Patagonia Argentina-Bs.As.;Ale ♀
27355317;2009-03-28 22:44:48.0;CONGRATS! YOU WON A FRIEND ... MAYBE A GIRLFRIEND ... ONLY YOURS ...;440;420;586;en;Brazil/ Belo Horizonte;Gabriela Martins
445015186;2011-12-23 20:32:55.0;Army Vet: God, Country, Family: Sad will be the day when the American people forget their traditions and their history, and so longer remember. Roger Sherman;3413;536;738;en;United States;ONYOUR(6)
419623702;2011-11-23 13:45:13.0;Penn State Swimming;631;275;291;en;;Matt
746266942948904960;2016-06-24 06:01:18.0;Plz find the Best Portuguese Radio stations in instant click on your Android Device using this Free App on the GooglePlay Store.Plz try it,rate it and share it.;0;151;3;fr;Casablanca, Grand Casablanca;AndroidRadioPortugal
719668304739229696;2016-04-11 20:27:49.0;;452;268;604;pt;;Frases Românticas
729864328510361600;2016-05-09 23:43:10.0;sempre os caminhos de deus , vai ser sempre a solução! ☝☝;4089;150;325;pt;Centro, Rio de Janeiro;Tey,Jn
335037408;2011-07-13 22:53:22.0;Un gran hincha de Nacional y de la Seleccion Uruguaya;391;109;633;es;;Richard #138127
269984270;2011-03-21 17:13:48.0;Costella Handbags combines impeccable detail with bold design. Fine leathers and intricate hardware are all traits reflective of this line. Handbags and Jewelry;146;1548;685;en;Los Angeles;Costella bags
636974830;2012-07-16 10:26:22.0;;24014;1050;1775;pt;;RaulZ
175158638;2010-08-05 16:56:40.0;EL MEJOR PROYECTO EN EL QUE TRABAJARAS DURANTE TU VIDA , ERES TU !!;1263;118;641;es;;Yak O.M.
2803792446;2014-09-11 12:02:26.0;TIM BETA;10;90;849;pt;Brasil/Janaúba/MG;Cristian Ribeiro
2419315730;2014-03-30 14:41:55.0;Tambores, Paysandu , Tacuarembo;3603;239;932;es;Tacuarembo;Horacio Nuñez
197818344;2010-10-02 12:05:15.0;;73;442;768;es;;maría gisela rincón
784749541;2012-08-27 11:09:00.0;;164;62;62;en;Sylacauga, AL;I'm on a Boat
173948282;2010-08-02 16:12:08.0;Informático, amante de la tecnología, chavista!!!!;58;1239;1105;es;Caracas;Paul Patiño
563193525;2012-04-25 15:56:40.0;Ceramic bearings, pulleys, BBs, headsets and chains without compromise. Proud sponsor of pro bike teams, triathletes. Supplier to world's most prominent brands.;3479;4158;622;en-gb;Denmark;CeramicSpeed
315964915;2011-06-12 15:43:52.0;;3;11;35;es;;Radio Arcadia
1545918476;2013-06-25 11:46:06.0;Global Mobility;195;160;564;en;Rio de Janeiro;Mooviin Brasil
111398537;2010-02-04 17:55:21.0;Carioca e Tricolor de coração e alma. Pai de duas criaturinhas lindas que amo!    Sócio Torcedor do @Fluminensefc insta: @diegotorresFFC;5679;1530;1562;pt;Rio de Janeiro;Diego Torres FFC
159090519;2010-06-24 09:28:26.0;Relatos de uma vida (a)normal. | Snapchat: allan.gomez;39769;1179;230;pt;Campinas, São Paulo;Detona Ralph
712830284;2012-07-23 14:56:42.0;vamos lo millo;5512;1101;2524;es;;Daniel Pinasco
1978926534;2013-10-21 12:44:01.0;Christian , Blessed with a beautiful wife and 4 Wonderful children. working with the best team at Grand River Robotics. Lely dealer;988;531;753;en;;Harry Linde
3785543056;2015-09-26 17:27:32.0;;67865;3656;3253;pt;;samanta persotti
3129528251;2015-03-30 15:03:49.0;Redacción publicitaria en @elDia Una forma diferente de comunicar.  #foodie #tendencias #diseño;136;656;479;es;Santa Cruz de Tenerife;Lara Castelló
83101888;2009-10-17 07:14:17.0;;17;103;212;pt;Brasil;Diego Lobato
1213758560;2013-02-23 18:36:26.0;Club de Fan de @MaiteOficial actriz y cantante Mexicana. Gracias @davidzepeda1 y @JessyCoch. Creada 23/02/13 / Maite me sigue 15/08/15;311;7108;658;es;;♥ Maite España ♥
868943347;2012-10-08 21:32:00.0;Montevideo, Uruguay. Club Atletico Peñarol;4498;285;489;es;;Tachi
3239007796;2015-05-06 11:37:45.0;Te Amo sin medidas!un Amor tan gran que no tiene explicación❤  @maiteOficial   @Willylevy29;9669;1392;1128;pt;Campina Grande,Paraíba,Brasil,;❤Maite❤te amo❤Idola❤
2890095999;2014-11-24 00:33:01.0;;77;4193;1774;es;;Semanario Polémica
289559677;2011-04-28 18:24:12.0;;407;431;374;pt;;Deborah Monteiro
63374210;2009-08-06 01:47:42.0;I am just another nothing;1009;44;79;en;Brasil :P;Raquel
4843248105;2016-01-24 19:01:55.0;;4484;3503;3762;pt;Brasil;RT Brasil
806148420;2012-09-06 02:57:45.0;Brazil: most retweeted #news and #photo;36638;532;138;pt;Brazil;Brazil: top news
2714987160;2014-08-07 14:34:04.0;Investimos exclusivamente em projetos de mulheres, doando recursos/ We are a social investment fund directed exclusively at the promotion of women’s protagonism;15;285;132;pt;Brasil;Fundo ELAS
85854037;2009-10-28 14:29:26.0;Agência de Comunicação e Marketing Esportivo especializada em gerenciamento da imagem de atletas, criando oportunidadesde negócios para nossos clientes!;80;1231;230;pt;São Paulo/SP;MVP SPORTS
198631576;2010-10-04 17:52:39.0;https://t.co/89CI7xXJL6;226;128;87;pt;Brasil;Yasmin Chales
176654537;2010-08-09 23:43:21.0;TvSaDeportes, viajero, lector, cinéfilo, Quijote.. He pisado 5 Continentes. Aprendiz de Atleta *Mis opiniones son personales. #Entrepreneur;1012;4173;233;es;Time Traveler...;Russell Baqueiro®
1046926386;2012-12-30 03:36:43.0;Activist | Traveller | Seeker of God | Photography | Hospitality | S & M Professional | IG:@rameshmenaka;13211;1039;1852;en;Sri Lanka ⛵;Ramesh Menaka
745546921616388096;2016-06-22 06:20:12.0;Plz find the Best Czech Radio stations in instant click on your Android Device through this Free App on the GooglePlay Store. Plz try it,rate it and share it.;0;178;4;fr;Casablanca, Grand Casablanca;AndroidRadioCzech
708796574051074049;2016-03-12 20:27:26.0;Twitter dedicado a @DulceMaria, aquí se darán a conocer lo último de ella sobre su carrera como actriz y cantante. ¡sígueme!;46;181;85;en;;Dulce María
10536952;2007-11-24 20:39:17.0;Climate Change: The Next Generation blogger;3965;915;709;en;Fort Worth, TX;TenneyNaumer
66477998;2009-08-17 17:37:26.0;;572;230;394;en;USA;Cody Fortune
138658081;2010-04-30 02:26:06.0;#WJSNunity @starshipunited @cosmicgirls_rps;139818;1740;4992;en;서울, 대한민국;카렌
4346831473;2015-11-24 14:40:55.0;O melhor conteúdo em vídeos online do Brasil e do mundo!;4;89;127;en;;ZoominTV Brasil
27399624;2009-03-29 05:22:17.0;Software Dev / Air-quotes comedian /  Cynical caffeine addict. Unreliably draws @wavelengthcomic.;1238;211;163;en;Hobart, Tasmania;Ben Klingberg
596889087;2012-06-01 18:13:13.0;;176;70;236;pt;;Denise Chaves
956485230;2012-11-18 22:50:11.0;Rise and ShineSnap: jcides7;3080;292;204;es;Neuquén, Argentina;Julian Cides
2195946638;2013-11-15 10:56:40.0;ANNA ELOISE GARCIA CERON15/03          TONY BENNETT 11/05..CALMA GAROTA...        A VIDA ENSINA VOCÊ VIVER, SE VIVER O SUFICIENTE;40971;3266;4049;pt;Brasil;Anna Eloise BG Ceron
4269240088;2015-11-24 23:02:08.0;Blog de notícias e atualidade com conteúdo de mídia feito especialmente para você!;131;43;251;pt;Glória de Dourados, MS;Gazeta do Dia
755626105;2012-08-13 15:38:46.0;The Digital Ally Open is part of the PGA TOUR's https://t.co/IwPItrIeWo Tour. The tournament is hosted at the Nicklaus Golf Club at LionsGate.;238;618;633;en;Overland Park, KS;Digital Ally Open
196366279;2010-09-28 20:30:24.0;I've hurt myself today..;705;311;21;en;Brasil;Solitary Man
257063206;2011-02-24 14:04:13.0;O meu Avatar? A minha poética. O que me impulsiona? As artes visuais, pintura, gravura, instalações e intervenções urbanas, a estética onde inclui o outro.;48256;1077;1739;pt;Rio de Janeiro;susanacariocaRJ
1000699344;2012-12-10 00:20:29.0;62 años informando en español desde el sur de la Florida. Un diario digital con edición impresa.;843;81430;12400;es;Florida;Diario Las Américas
1557968810;2013-06-30 09:31:38.0;;37399;1327;2466;pt;Sáo Paulo;Roberto Motociclista
2384229476;2014-03-11 18:38:35.0;Somos un site con la información de tus artistas favoritos. Las noticias más exclusivas todas en un mismo lugar.;177;3636;1606;es;Latinoamerica;Farandula.com
1948260512;2013-10-08 21:59:46.0;UN SHOW MAS INOLVIDABLE CONOSERAS NUEVOS IDOLOS;11;115;76;es;;stiven cristancho
1601488375;2013-07-17 14:35:41.0;Soy uruguayo,estudiante de periodismo. Amante de los deportes. Fútbol y automovilismo son mi pasión;244;65;306;es;Montevideo,Uruguay;Miguel
84112004;2009-10-21 14:38:21.0;Publicitário, Diretor da Luzzes Publicidade de, em Goiania e no Rio de Janeiro.;66;198;467;en;Goiania-GO e Rio de Janeiro-RJ;Gesseone Soares
1713404071;2013-08-30 15:05:15.0;Tortas, Gelatinas, Galletas y Ponquesitos decorados, Dulces, Shots, Bombones, Tartaletas, y todo lo que necesite para cualquier ocasión especial…;4;192;152;es;Caracas;DulcesTk
2521791431;2014-05-01 16:36:58.0;1.9.8.5;31048;3504;1770;pt;Mexico;NoSéLlorar
276594421;2011-04-03 14:42:52.0;Gremista e perronita , vivendo com a @1GNOR4DA  porque quando existe amizade de verdade a distância não significa nada   S2;192;189;229;pt;;Lise  s2
464083488;2012-01-14 18:36:33.0;Winging it, like we all are. Having the time of my life along the way. Take a trip with me... If it can wait until tomorrow, it can wait forever. #travelblog;89;801;809;en;Rio de Janeiro, Brazil;Recovering Hippie
30994248;2009-04-13 20:40:17.0;Formado em jornalismo atuo como repórter-fotográfico no jornal Correio Braziliense. Sou apaixonado por fotografia e tecnologia. Veja + em: www.brenofortes.com;1922;1525;97;pt;;brenofortes.com
3157955499;2015-04-11 20:47:53.0;Leaf diehard;1471;302;571;en;Brampton, Ontario;Joey Dante
739229449443381248;2016-06-04 19:56:49.0;19 y.o. Broadcaster from CA bringing you the best content I got! YouNow, Snapchat, and Instagram @BigBarex;188;56;50;en;California ;Big Barex Brandon
718962841856909312;2016-04-09 21:44:34.0;;13738;64;533;pt;;Andrea Santos Costa
746074330166079488;2016-06-23 17:15:56.0;;441;15;26;pt;;Max Baden
